servername;instancesnum;databases;instancenames;productname
BEBRUWD0037007.degroof.be;1;0;SQLEXPRESS;Microsoft SQL Server 2012
BEBRUWD0037020.degroof.be;1;0;SQLEXPRESS;Microsoft SQL Server 2012
BEBRUWD0037020.degroof.be;1;0;MSSQLSERVER;Microsoft SQL Server 2016
BEBRUWN0036154.degroof.be;1;3;SQLEXPRESS;Microsoft SQL Server 2016
dominosmtp02.degroof.be;1;4;MSSQLSERVER;Microsoft SQL Server 2008 R2
SRVAPPPROF.degroof.be;1;1;MSSQLSERVER;Microsoft SQL Server 2008 R2
SRVKLUWER.degroof.be;2;16;"KLUWER2008R2 MSSQLSERVER";Microsoft SQL Server 2008 R2
SRVNSMTST.degroof.be;1;3;MSSQLSERVER;Microsoft SQL Server 2005
SRVNSMWKLP.degroof.be;1;3;MSSQLSERVER;Microsoft SQL Server 2005
SRVSQLW2K3.degroof.be;1;1;MSSQLSERVER;Microsoft SQL Server 2005
SRVWNKLUWER01T.degroof.be;1;7;KLUWER2008R2;Microsoft SQL Server 2008 R2
SRVWNLICMS01P.degroof.be;1;0;ADK;Microsoft SQL Server 2012
SRVWNNICE01P.degroof.be;1;17;MSSQLSERVER;Microsoft SQL Server 2012
SRVWNONESUMX02P.degroof.be;1;5;MSSQLSERVER;Microsoft SQL Server 2012
SRVWNONESUMX02T.degroof.be;1;5;MSSQLSERVER;Microsoft SQL Server 2012
SRVWNSCCM01P.degroof.be;1;3;MSSQLSERVER;Microsoft SQL Server 2014
SRVWNSENTINE01P.degroof.be;1;4;MSSQLSERVER;Microsoft SQL Server 2012
SRVWNSQL01P.degroof.be;1;6;MSSQLSERVER;Microsoft SQL Server 2008 R2
SRVWNSQL01T.degroof.be;1;12;MSSQLSERVER;Microsoft SQL Server 2008 R2
SRVWNSQLAPPD01P.degroof.be;2;3;"APPDEC WATCHDOCRPT";Microsoft SQL Server 2008 R2
SRVWNSQLAPPD01T.degroof.be;2;2;"APPDEC WATCHDOCRPT";Microsoft SQL Server 2008 R2
